title,company,salary,work,place,skills,decriptions
"Frontend Developer (ReactJS, Javascript, Hanoi)",Euroland Asia,Up to $1500,At office,Ha Noi,"ReactJS, CSS, JavaScript, ",
"Windows Application Developer (Qt, C++, OOP)",Ewoosoft Vietnam,"1,500 - 2,000 USD",At office,Ha Noi,"C++, English, OOP, ",
Solution Architect/Technical Project Manager,Terralogic,You'll love it,At office,Ho Chi Minh,"Software Architect, Solution Architect, Project Manager, ",
".NET Developer (C#, ASP.NET, SQL)",Tổng Công ty CP Dệt may Hòa Thọ,You'll love it,At office,Da Nang,".NET, C#, SQL, ",
IT Infrastructure Lead,Masterise Group,You'll love it,At office,Ho Chi Minh,"System Engineer, Networking, ",
"Machine Learning Engineer (AI, Python)",Vietmap,"1,000 - 2,000 USD",At office,Ho Chi Minh,"Machine Learning, Python, AI, ",
Software developer (.NET),SSI Securities Corporation,You'll love it,At office,Ha Noi,".NET, C#, NoSQL, ",
"Superset Developer (Vue.js, JavaScript, SQL)",GaneshAID Consultancy Company Limited,"750 - 1,000 USD",At office,Ha Noi,N/A,
Embedded Linux Software Engineer (All levels),CÔNG TY TNHH AMPACS INTERNATIONAL,"800 - 2,500 USD",Hybrid,Ho Chi Minh,N/A,
DevOps Engineer,99Tech,"800 - 3,000 USD",Remote,Ho Chi Minh - Ha Noi - Da Nang,N/A,
DevOps Engineer (AWS),OL Vietnam,You'll love it,At office,Ho Chi Minh,"DevOps, AWS, English, ",
Business Analyst cum Scrum Master,SGITS,"1,000 - 1,800 USD",At office,Ho Chi Minh,"Business Analyst, English, Scrum, ",
Senior Backend Developer (NodeJS),Floware,You'll love it,At office,Ho Chi Minh,"NodeJS, TypeScript, JavaScript, ",
